,M6600003
2013-10-19,446.0
2013-10-20,418.0
2013-10-21,747.0
2013-10-22,720.0
2013-10-23,687.0
2013-10-24,670.0
2013-10-25,651.0
2013-10-26,361.0
2013-10-27,383.0
2013-10-28,747.0
2013-10-29,694.0
2013-10-30,710.0
2013-10-31,707.0
2013-11-01,656.0
2013-11-02,422.0
2013-11-03,352.0
2013-11-04,714.0
2013-11-05,736.0
2013-11-06,675.0
2013-11-07,728.0
2013-11-08,608.0
2013-11-09,371.0
2013-11-10,385.0
2013-11-11,601.0
2013-11-12,570.0
2013-11-13,723.0
2013-11-14,678.0
2013-11-15,561.0
2013-11-16,375.0
2013-11-17,349.0
2013-11-18,619.0
2013-11-19,623.0
2013-11-20,644.0
2013-11-21,634.0
2013-11-22,559.0
2013-11-23,409.0
2013-11-24,356.0
2013-11-25,613.0
2013-11-26,606.0
2013-11-27,636.0
2013-11-28,662.0
2013-11-29,589.0
2013-11-30,388.0
2013-12-01,399.0
2013-12-02,650.0
2013-12-03,684.0
2013-12-04,639.0
2013-12-05,762.0
2013-12-06,658.0
2013-12-07,559.0
2013-12-08,581.0
2013-12-09,947.0
2013-12-10,990.0
2013-12-11,1216.0
2013-12-12,1063.0
2013-12-13,858.0
2013-12-14,551.0
2013-12-15,588.0
2013-12-16,1041.0
2013-12-17,1072.0
2013-12-18,1011.0
2013-12-19,1022.0
2013-12-20,952.0
2013-12-21,561.0
2013-12-22,548.0
2013-12-23,966.0
2013-12-24,952.0
2013-12-25,964.0
2013-12-26,1289.0
2013-12-27,931.0
2013-12-28,641.0
2013-12-29,610.0
2013-12-30,998.0
2013-12-31,945.0
2014-01-01,564.0
2014-01-02,1150.0
2014-01-03,1060.0
2014-01-04,747.0
2014-01-05,673.0
2014-01-06,1099.0
2014-01-07,1111.0
2014-01-08,1072.0
2014-01-09,633.0
2014-01-10,487.0
2014-01-11,548.0
2014-01-12,545.0
2014-01-13,952.0
2014-01-14,908.0
2014-01-15,963.0
2014-01-16,941.0
2014-01-17,863.0
2014-01-18,547.0
2014-01-19,473.0
2014-01-20,838.0
2014-01-21,811.0
2014-01-22,777.0
2014-01-23,798.0
2014-01-24,676.0
2014-01-25,539.0
2014-01-26,591.0
2014-01-27,648.0
2014-01-28,530.0
2014-01-29,416.0
2014-01-30,290.0
2014-01-31,267.0
2014-02-01,290.0
2014-02-02,316.0
2014-02-03,330.0
2014-02-04,387.0
2014-02-05,430.0
2014-02-06,556.0
2014-02-07,951.0
2014-02-08,944.0
2014-02-09,863.0
2014-02-10,1293.0
2014-02-11,1328.0
2014-02-12,1366.0
2014-02-13,1297.0
2014-02-14,1035.0
2014-02-15,856.0
2014-02-16,919.0
2014-02-17,1395.0
2014-02-18,1392.0
2014-02-19,1429.0
2014-02-20,1381.0
2014-02-21,1356.0
2014-02-22,861.0
2014-02-23,772.0
2014-02-24,1456.0
2014-02-25,1469.0
2014-02-26,1293.0
2014-02-27,1228.0
2014-02-28,1174.0
2014-03-01,716.0
2014-03-02,520.0
2014-03-03,1172.0
2014-03-04,1074.0
2014-03-05,1055.0
2014-03-06,1012.0
2014-03-07,941.0
2014-03-08,524.0
2014-03-09,483.0
2014-03-10,948.0
2014-03-11,1004.0
2014-03-12,1012.0
2014-03-13,1058.0
2014-03-14,902.0
2014-03-15,536.0
2014-03-16,442.0
2014-03-17,671.0
2014-03-18,998.0
2014-03-19,1040.0
2014-03-20,964.0
2014-03-21,910.0
2014-03-22,543.0
2014-03-23,495.0
2014-03-24,903.0
2014-03-25,962.0
2014-03-26,886.0
2014-03-27,949.0
2014-03-28,915.0
2014-03-29,620.0
2014-03-30,527.0
2014-03-31,1028.0
2014-04-01,966.0
2014-04-02,874.0
2014-04-03,872.0
2014-04-04,765.0
2014-04-05,416.0
2014-04-06,456.0
2014-04-07,540.0
2014-04-08,911.0
2014-04-09,884.0
2014-04-10,989.0
2014-04-11,912.0
2014-04-12,536.0
2014-04-13,503.0
2014-04-14,1030.0
2014-04-15,1038.0
2014-04-16,1004.0
2014-04-17,950.0
2014-04-18,902.0
2014-04-19,533.0
2014-04-20,528.0
2014-04-21,981.0
2014-04-22,959.0
2014-04-23,993.0
2014-04-24,917.0
2014-04-25,624.0
2014-04-26,553.0
2014-04-27,357.0
2014-04-28,978.0
2014-04-29,879.0
2014-04-30,786.0
2014-05-01,369.0
2014-05-02,373.0
2014-05-03,454.0
2014-05-04,840.0
2014-05-05,1009.0
2014-05-06,837.0
2014-05-07,870.0
2014-05-08,864.0
2014-05-09,802.0
2014-05-10,531.0
2014-05-11,491.0
2014-05-12,955.0
2014-05-13,968.0
2014-05-14,893.0
2014-05-15,987.0
2014-05-16,640.0
2014-05-17,488.0
2014-05-18,521.0
2014-05-19,952.0
2014-05-20,897.0
2014-05-21,996.0
2014-05-22,971.0
2014-05-23,814.0
2014-05-24,465.0
2014-05-25,446.0
2014-05-26,873.0
2014-05-27,929.0
2014-05-28,979.0
2014-05-29,837.0
2014-05-30,794.0
2014-05-31,446.0
2014-06-01,362.0
2014-06-02,397.0
2014-06-03,973.0
2014-06-04,950.0
2014-06-05,1003.0
2014-06-06,847.0
2014-06-07,492.0
2014-06-08,475.0
2014-06-09,1018.0
2014-06-10,1007.0
2014-06-11,1054.0
2014-06-12,916.0
2014-06-13,885.0
2014-06-14,502.0
2014-06-15,478.0
2014-06-16,736.0
2014-06-17,875.0
